Date,exr,rexr,eco_g,tw_gdp,cpi,im,ex,ipi,reer_b,us_gdp,us_cpi,usipi
2002Q1,35.04,76.43,1.82,"2,580,550",81.6366667,353598.333,6185706,35.15,114.966667,14608.73685,178.067,178.067
2002Q2,34.45,75.67,6.75,"2,585,960",81.7066667,396460,6988462,39.3433333,113.77,14702.8967,179.467,179.467
2002Q3,33.99,75.06,7.02,"2,661,948",81.71,390495,7284330,39.5333333,112.216667,14795.13827,180.433,180.433
2002Q4,34.84,77.13,6.22,"2,802,453",81.9833333,423723.667,6915456,40.0733333,109.953333,14886.17624,181.5,181.5
2003Q1,34.71,78.13,5.17,"2,652,671",81.4633333,392868.667,6183483,38.6133333,106.573333,14977.19895,183.367,183.367
2003Q2,34.72,77.89,-1.15,"2,573,103",81.6066667,416874.667,6512287,40.8433333,104.906667,15069.0265,183.067,183.067
2003Q3,34.25,77.77,5.41,"2,755,213",81.2233333,439472,6900342,42.8533333,105.526667,15161.01304,184.433,184.433
2003Q4,34,76.93,7.26,"2,943,042",81.8233333,486032.333,6975159,45.7933333,103.38,15254.33442,185.133,185.133
2004Q1,33.41,76.18,6.93,"2,807,395",81.88,467869.333,6325973,43.99,102.863333,15349.3686,186.7,186.7
2004Q2,33.38,76.06,10.8,"2,824,458",82.5833333,518809,7274624,46.73,104.426667,15445.75949,188.167,188.167
2004Q3,33.98,77,7.05,"2,952,300",83.5666667,528930.667,7535043,46.22,103.24,15544.0956,189.367,189.367
2004Q4,32.94,75.66,3.6,"3,012,088",83.33,533896,7673735,47.0066667,102.816667,15643.39944,191.4,191.4
2005Q1,31.54,72.95,3.76,"2,888,183",83.1666667,475114,6766350,44.5866667,105.28,15740.36208,192.367,192.367
2005Q2,31.4,72.11,4.82,"2,876,093",84.3266667,516744.667,7290188,47.41,107.976667,15833.98635,193.667,193.667
2005Q3,32.32,73.79,5.07,"3,034,571",86.1133333,535367.333,7374598,47.9833333,107.873333,15925.48397,196.6,196.6
2005Q4,33.46,77.74,7.63,"3,237,828",85.4033333,615075,7731747,49.72,104.193333,16014.16822,198.433,198.433
2006Q1,32.32,76.48,6.05,"3,015,255",84.2966667,544917.667,7321247,47.7833333,104.51,16099.61021,199.467,199.467
2006Q2,32.18,75.66,5.64,"3,020,629",85.6066667,603672.333,8286795,50.1766667,104.056667,16182.6442,201.267,201.267
2006Q3,32.78,77.61,7.19,"3,200,487",85.8166667,649611.333,8868278,50.3766667,102.063333,16261.61595,203.167,203.167
2006Q4,32.85,77.9,4.33,"3,336,216",85.3233333,652443.667,7998319,49.85,100.413333,16336.38318,202.333,202.333
2007Q1,32.92,79.02,5.64,"3,164,736",85.12,601394,7364023,48.1433333,98.6866667,16413.08416,204.317,204.317
2007Q2,33.11,79.71,7.12,"3,194,285",85.83,662976.333,8014717,53.3166667,96.8833333,16492.81313,206.631,206.631
2007Q3,32.91,78.6,7.97,"3,453,398",87.07,715040.333,8225256,55.34,96.76,16575.36122,207.939,207.939
2007Q4,32.43,76.57,6.58,"3,551,498",89.15,742492.333,8526280,57.2266667,96.8233333,16658.2616,210.49,210.49
2008Q1,31.53,76.08,7.66,"3,324,515",88.1766667,682916.333,7342201,54.4966667,94.2833333,16741.83551,212.77,212.77
2008Q2,30.44,73.36,5.66,"3,314,490",89.43,720701.667,7912146,57.49,96.6466667,16824.00846,215.538,215.538
2008Q3,31.19,75.01,-1.39,"3,242,391",91.01,728571.667,8485611,56.32,96.64,16903.75132,218.861,218.861
2008Q4,32.98,77.66,-7.36,"3,233,700",90.81,564425.333,7143611,43.7433333,95.7366667,16979.72738,213.849,213.849
2009Q1,33.98,81.85,-7.87,"3,107,886",88.1666667,462483.333,5542339,36.5133333,91.0666667,17050.23362,212.378,212.378
2009Q2,33.13,79.78,-5.92,"3,102,866",88.6666667,534474.333,5519074,48.48,92.3266667,17116.47772,213.507,213.507
2009Q3,32.8,78.67,-1.14,"3,265,332",89.78,610270.667,5894825,53.92,91.96,17178.97027,215.344,215.344
2009Q4,32.32,78.22,8.58,"3,443,361",89.67,649274.667,6663647,56.98,90.6933333,17239.53132,217.03,217.03
2010Q1,31.96,77.8,11.55,"3,411,644",89.3,664004.333,6570844,56.5166667,91.3766667,17300.29215,217.374,217.374
2010Q2,31.93,77.4,12.02,"3,467,834",89.6433333,750813,7865708,63.47,92.7933333,17362.17218,217.297,217.297
2010Q3,31.97,77.31,11.54,"3,604,351",90.1166667,758944.333,8559367,64.08,90.9833333,17426.50587,217.934,217.934
2010Q4,30.74,74.49,6.34,"3,576,516",90.6633333,745366.333,8570081,65.1633333,92.7066667,17492.53719,219.699,219.699
2011Q1,29.51,72.45,6.72,"3,552,329",90.4366667,730608.333,8122664,63.3733333,93.8766667,17560.4955,222.044,222.044
2011Q2,28.9,71.24,4.16,"3,470,395",91.1066667,783496.333,9985291,66.0433333,93.29,17630.45708,224.568,224.568
2011Q3,29.2,72.27,3.28,"3,645,975",91.33,769092,9490027,64.13,91.3166667,17702.57186,226.033,226.033
2011Q4,30.26,74.71,0.89,"3,593,502",91.9633333,774277.333,8852654,61.5566667,89.8,17776.28839,227.047,227.047
2012Q1,29.72,74.08,1.09,"3,573,234",91.6,713116.333,7556667,60.67,90.3666667,17851.54859,228.326,228.326
2012Q2,29.66,73.28,1.04,"3,560,576",92.6133333,759745,8573761,65.2233333,92.2266667,17928.8843,228.808,228.808
2012Q3,29.87,73.02,2.18,"3,761,673",94.0233333,775244.333,8631273,66.43,92.8666667,18007.78469,229.841,229.841
2012Q4,29.21,72.16,4.48,"3,782,282",93.66,764340.333,8358161,65.2466667,93.2533333,18088.02803,231.369,231.369
2013Q1,29.55,73.61,1.5,"3,670,889",93.2533333,721575.667,7290405,63.0233333,92.5933333,18170.17776,232.299,232.299
2013Q2,29.95,74.45,2.68,"3,721,253",93.35,790291.333,8576949,67.5466667,92.6133333,18253.52756,232.045,232.045
2013Q3,29.95,74.28,1.95,"3,877,352",94.0633333,773111.667,8412608,68.9266667,93.3333333,18337.599,233.3,233.3
2013Q4,29.63,73.67,3.73,"4,001,234",94.1766667,788036.333,8350219,68.2,93.32,18422.91329,234.163,234.163
2014Q1,30.36,76.11,4.69,"3,864,177",93.9933333,750992.667,7793066,65.7466667,91.0966667,18509.443,235.621,235.621
2014Q2,30.16,75.3,4.92,"3,966,585",94.8766667,820975.333,9148257,72.1533333,91.9333333,18597.08684,236.872,236.872
2014Q3,30.06,74.76,4.9,"4,137,478",95.4833333,825746.667,8884210,74.9466667,92.9666667,18686.78631,237.478,237.478
2014Q4,30.89,77.05,4.38,"4,289,807",94.9666667,823425.667,9207746,74.8933333,93.03,18777.72656,236.888,236.888
2015Q1,31.59,79.57,4.79,"4,215,980",93.4433333,748390,8354796,70.7833333,92.4166667,18869.77467,235.355,235.355
2015Q2,30.99,77.95,1.89,"4,157,711",94.21,752674.667,8998328,72.5966667,95.1666667,18963.01626,236.96,236.96
2015Q3,32.21,80.45,-0.28,"4,286,649",95.2333333,750417,8716746,71.2033333,94.3533333,19056.83833,237.855,237.855
2015Q4,32.85,82.01,-0.2,"4,394,740",95.2733333,753095.333,8378609,69.93,93.42,19150.9692,237.837,237.837
2016Q1,33.35,83.38,-0.09,"4,318,253",95.0733333,688052,7541657,66.74,91.9766667,19245.2221,237.689,237.689
2016Q2,32.44,81.41,1.69,"4,258,596",95.4666667,739691,8420947,72.2633333,92.03,19339.74405,239.59,239.59
2016Q3,31.73,79.6,3,"4,393,874",95.91,754221.667,8514437,75.83,94.1866667,19434.06234,240.607,240.607
2016Q4,31.78,79.35,3.92,"4,584,545",96.9766667,817095.333,8919270,77.7233333,97.4333333,19528.05803,242.135,242.135
2017Q1,31.1,79.15,3.72,"4,386,857",95.8133333,747162.667,8127724,73.2,98.83,19622.17184,243.839,243.839
2017Q2,30.27,76.97,2.79,"4,336,020",96.0066667,757180,9156140,74.76,100.05,19717.08385,244.12,244.12
2017Q3,30.28,76.87,3.98,"4,577,156",96.62,840179.333,9808243,79.2966667,98.2366667,19814.50161,245.287,245.287
2017Q4,30.12,76.48,4.12,"4,712,354",97.37,857398.667,9680486,79.9033333,98.7166667,19914.26761,247.238,247.238
2018Q1,29.32,75.12,3.43,"4,484,529",97.31,776079.333,8852361,75.6433333,97.4866667,20016.54317,249.322,249.322
2018Q2,29.78,76.44,3.43,"4,501,842",97.6566667,825651,9846819,78.7133333,97.2566667,20121.67138,250.679,250.679
2018Q3,30.68,78.61,2.52,"4,621,307",98.2333333,876026.333,10244067,81.2133333,98.0333333,20228.12968,251.686,251.686
2018Q4,30.86,79.72,2.33,"4,812,361",97.82,878606.667,10547133,81.95,97.8466667,20335.09873,252.711,252.711
2019Q1,30.83,80.03,2.08,"4,576,002",97.6166667,779645.333,10586477,73.3333333,96.0133333,20443.03304,253.386,253.386
2019Q2,31.15,80.76,2.96,"4,629,762",98.45,842932.667,11401435,78.7033333,96.1333333,20551.11493,255.247,255.247
2019Q3,31.21,81.03,3.41,"4,774,168",98.6366667,884054.667,12039499,83.57,96.6366667,20658.99661,256.089,256.089
2019Q4,30.51,79.88,3.68,"4,994,165",98.5033333,887349,12219697,84.96,97.9666667,20763.9792,257.888,257.888
2020Q1,30.15,79.51,3.21,"4,735,466",98.1466667,787759.667,11017843,81.1,98.4066667,20867.2769,258.818,258.818
2020Q2,29.93,78.68,0.55,"4,772,375",97.4933333,792918.667,11947777,82.9566667,100.736667,20970.42195,256.292,256.292
2020Q3,29.48,77.84,4.23,"5,103,027",98.17,885509.333,13485055,90.6166667,100.176667,21071.76263,259.222,259.222
2020Q4,28.77,76.29,5.48,"5,412,884",98.46,933391.333,14099246,93.9666667,100.683333,21174.33034,261.092,261.092
2021Q1,28.39,75.67,9.62,"5,296,363",98.93,925381.333,13666655,92.9066667,100.49,21277.70315,263.686,263.686
2021Q2,27.99,75.5,8.28,"5,279,560",99.5666667,1019586.33,15785013,98.7,101.616667,21382.89835,268.58,268.58
2021Q3,27.87,75.74,4.32,"5,388,247",100.41,1087004,17554964,104.013333,103.223333,21493.01915,272.886,272.886
2021Q4,27.84,76.76,5.1,"5,809,121",101.093333,1135221,18679334,104.39,103.683333,21606.08076,278.719,278.719
2022Q1,28,78.42,3.85,"5,647,656",101.71,1125287,18697035,99.0166667,102.833333,21722.0248,284.845,284.845
2022Q2,29.46,83.42,3.51,"5,558,046",103.003333,1227944,19454327,99.98,101.453333,21840.56636,291.651,291.651
2022Q3,30.4,86.92,4.06,"5,718,537",103.35,1215689.67,18939972,99.46,101.163333,21961.53508,295.508,295.508
2022Q4,31.37,90.28,-0.43,"5,896,191",103.723333,1170493.67,17960725,94.32,99.4566667,22084.92536,298.498,298.498
2023Q1,30.4,87.73,-3.47,"5,489,013",104.363333,992108.667,15598232,82.5133333,98.68,22208.24254,301.192,301.192
2023Q2,30.71,88.66,1.47,"5,710,934",105.103333,1065279.33,16861445,81.2666667,99.4166667,22333.11239,303.424,303.424
2023Q3,31.69,91.6,1.55,"6,016,101",105.876667,1206377.67,20281442,88.3333333,98.37,22459.74068,306.042,306.042
2023Q4,31.84,91.95,4.73,"6,380,686",106.706667,1230270,23492919,91.83,99.08,22588.18459,308.158,308.158
